threshold,precision_fraud,recall_fraud,f1_fraud,tn,fp,fn,tp
0.05,0.45754716981132076,0.7404580152671756,0.565597667638484,2533,115,34,97
0.06,0.46634615384615385,0.7404580152671756,0.5722713864306784,2537,111,34,97
0.07,0.47317073170731705,0.7404580152671756,0.5773809523809523,2540,108,34,97
0.08,0.47783251231527096,0.7404580152671756,0.5808383233532934,2542,106,34,97
0.09,0.485,0.7404580152671756,0.5861027190332326,2545,103,34,97
0.1,0.4898989898989899,0.7404580152671756,0.5896656534954408,2547,101,34,97
0.11,0.5,0.7404580152671756,0.5969230769230769,2551,97,34,97
0.12,0.5025906735751295,0.7404580152671756,0.5987654320987654,2552,96,34,97
0.13,0.5159574468085106,0.7404580152671756,0.6081504702194357,2557,91,34,97
0.14,0.521505376344086,0.7404580152671756,0.61198738170347,2559,89,34,97
0.15,0.5300546448087432,0.7404580152671756,0.6178343949044586,2562,86,34,97
0.16,0.5359116022099447,0.7404580152671756,0.6217948717948718,2564,84,34,97
0.17,0.5449438202247191,0.7404580152671756,0.627831715210356,2567,81,34,97
0.18,0.5449438202247191,0.7404580152671756,0.627831715210356,2567,81,34,97
0.19,0.5449438202247191,0.7404580152671756,0.627831715210356,2567,81,34,97
0.2,0.5480225988700564,0.7404580152671756,0.6298701298701299,2568,80,34,97
0.21,0.5511363636363636,0.7404580152671756,0.6319218241042345,2569,79,34,97
0.22,0.5606936416184971,0.7404580152671756,0.6381578947368421,2572,76,34,97
0.23,0.563953488372093,0.7404580152671756,0.6402640264026402,2573,75,34,97
0.24,0.5680473372781065,0.732824427480916,0.64,2575,73,35,96
0.25,0.5748502994011976,0.732824427480916,0.6442953020134228,2577,71,35,96
0.26,0.5818181818181818,0.732824427480916,0.6486486486486487,2579,69,35,96
0.27,0.5853658536585366,0.732824427480916,0.6508474576271186,2580,68,35,96
0.28,0.588957055214724,0.732824427480916,0.6530612244897959,2581,67,35,96
0.29,0.59375,0.7251908396946565,0.6529209621993127,2583,65,36,95
0.3,0.5974842767295597,0.7251908396946565,0.6551724137931034,2584,64,36,95
0.31,0.5949367088607594,0.7175572519083969,0.6505190311418685,2584,64,37,94
0.32,0.6025641025641025,0.7175572519083969,0.6550522648083623,2586,62,37,94
0.33,0.6103896103896104,0.7175572519083969,0.6596491228070176,2588,60,37,94
0.34,0.6103896103896104,0.7175572519083969,0.6596491228070176,2588,60,37,94
0.35,0.6143790849673203,0.7175572519083969,0.6619718309859155,2589,59,37,94
0.36,0.6143790849673203,0.7175572519083969,0.6619718309859155,2589,59,37,94
0.37,0.618421052631579,0.7175572519083969,0.6643109540636042,2590,58,37,94
0.38,0.6158940397350994,0.7099236641221374,0.6595744680851063,2590,58,38,93
0.39,0.6158940397350994,0.7099236641221374,0.6595744680851063,2590,58,38,93
0.4,0.62,0.7099236641221374,0.6619217081850534,2591,57,38,93
0.41,0.6241610738255033,0.7099236641221374,0.6642857142857143,2592,56,38,93
0.42,0.6241610738255033,0.7099236641221374,0.6642857142857143,2592,56,38,93
0.43,0.6241610738255033,0.7099236641221374,0.6642857142857143,2592,56,38,93
0.44,0.6283783783783784,0.7099236641221374,0.6666666666666666,2593,55,38,93
0.45,0.6326530612244898,0.7099236641221374,0.6690647482014388,2594,54,38,93
0.46,0.6326530612244898,0.7099236641221374,0.6690647482014388,2594,54,38,93
0.47,0.6413793103448275,0.7099236641221374,0.6739130434782609,2596,52,38,93
0.48,0.6458333333333334,0.7099236641221374,0.6763636363636364,2597,51,38,93
0.49,0.6549295774647887,0.7099236641221374,0.6813186813186813,2599,49,38,93
0.5,0.6549295774647887,0.7099236641221374,0.6813186813186813,2599,49,38,93
0.51,0.6549295774647887,0.7099236641221374,0.6813186813186813,2599,49,38,93
0.52,0.6549295774647887,0.7099236641221374,0.6813186813186813,2599,49,38,93
0.53,0.6549295774647887,0.7099236641221374,0.6813186813186813,2599,49,38,93
0.54,0.6595744680851063,0.7099236641221374,0.6838235294117647,2600,48,38,93
0.55,0.6595744680851063,0.7099236641221374,0.6838235294117647,2600,48,38,93
0.56,0.6642857142857143,0.7099236641221374,0.6863468634686347,2601,47,38,93
0.57,0.6618705035971223,0.7022900763358778,0.6814814814814815,2601,47,39,92
0.58,0.6594202898550725,0.6946564885496184,0.6765799256505576,2601,47,40,91
0.59,0.6594202898550725,0.6946564885496184,0.6765799256505576,2601,47,40,91
0.6,0.6642335766423357,0.6946564885496184,0.6791044776119403,2602,46,40,91
0.61,0.6642335766423357,0.6946564885496184,0.6791044776119403,2602,46,40,91
0.62,0.674074074074074,0.6946564885496184,0.6842105263157895,2604,44,40,91
0.63,0.674074074074074,0.6946564885496184,0.6842105263157895,2604,44,40,91
0.64,0.6791044776119403,0.6946564885496184,0.6867924528301886,2605,43,40,91
0.65,0.6791044776119403,0.6946564885496184,0.6867924528301886,2605,43,40,91
0.66,0.6842105263157895,0.6946564885496184,0.6893939393939394,2606,42,40,91
0.67,0.6923076923076923,0.6870229007633588,0.6896551724137931,2608,40,41,90
0.68,0.6953125,0.6793893129770993,0.6872586872586872,2609,39,42,89
0.69,0.6953125,0.6793893129770993,0.6872586872586872,2609,39,42,89
0.7,0.7007874015748031,0.6793893129770993,0.689922480620155,2610,38,42,89
0.71,0.7016129032258065,0.6641221374045801,0.6823529411764706,2611,37,44,87
0.72,0.6991869918699187,0.6564885496183206,0.6771653543307087,2611,37,45,86
0.73,0.6991869918699187,0.6564885496183206,0.6771653543307087,2611,37,45,86
